ticker,model,n,omega,alpha1,beta1,gamma1,shape,persistence,loglik,LB10_z,LB10_z2,n_winsorized
COCOA_NY,gjr_t,2863,1.62995394155623e-06,0.0414866866211464,0.964852505496119,-0.0164788734648144,7.29856267298853,0.998099755384837,7130.43371500927,0.680665915935384,0.905859503829099,2
COCOA_LDN,gjr_t,2863,2.92491759911072e-06,0.0437566182201037,0.942272314464823,0.0194529969867697,4.94951596577329,0.995755431178313,7536.21110836723,0.00746183189058725,0.636655778311055,3
COFFEE_ARA,gjr_t,2863,3.2175045999166e-06,0.0385012580379878,0.968068542488035,-0.028009534245302,10.7893746592934,0.992565033403372,7054.26086486238,0.570347022669434,0.107240797914667,0
COFFEE_ROB,gjr_t,2863,7.93476657970152e-07,0.0183854834642355,0.979014516804029,0.000974800449411396,5.70932669677762,0.99788740049297,7762.47246792163,0.881300900699291,0.673386431605011,3
SUGAR,gjr_t,2863,3.23970467612628e-06,0.0076755170331485,0.975565270573991,0.01379423324185,8.44273900747687,0.990137904228219,7510.61560999582,0.4900367058925,0.0109915011433782,2
COTTON,gjr_t,2863,3.13503231529887e-06,0.0457207308736332,0.943356438393744,0.00101869858496377,5.31168226891345,0.989586518559858,8019.24405469698,0.367507298078169,0.923909485659224,2
OJ,gjr_t,2863,1.33262235434961e-06,0.0341813659302494,0.966473181659758,-0.00330934293134299,9.17255559212467,0.998999876124336,6707.25537714223,0.000346635671167106,0.820233956334008,1
CORN,gjr_t,2863,9.25354309356326e-06,0.0636569693050387,0.887196453337514,0.0189429979808997,5.37814738513404,0.960324921632998,8164.17480969261,0.227349032854919,0.171751215903508,4
SOYB,gjr_t,2863,3.35041048152787e-06,0.0653711784964538,0.923655354977392,-0.0208289613412632,6.90561266259342,0.97861205280321,8688.00427145334,0.455300321632065,0.404528352440977,3
WHEAT,gjr_t,2863,1.32908188555707e-05,0.0716978891909163,0.892154901042239,-0.000638357400341484,11.2691870188922,0.963533611532984,7408.96798750985,0.0117307784182641,0.2404447621114,0
PALMOIL,gjr_t,2863,3.57607146829365e-06,0.0491790656024733,0.93507007713043,0.0105413548548762,5.41570654100168,0.989519820160339,7850.05889741787,0.0199071087239671,0.842338756508769,3
WTI,gjr_t,2861,1.82360196448528e-05,0.0768264713799016,0.871307090816429,0.0458339000239078,6.736933256062,0.971050512208284,6758.31254827167,0.623084729684943,0.59644735304614,3
DXY,gjr_t,2863,1.4892682498683e-07,0.0396009644955666,0.954081337411326,-0.00343961616928812,10.0434770670423,0.991962493822248,11646.2132405618,0.33931911271314,0.297107019112193,1
US10Y,gjr_t,2863,2.29224438207471e-05,0.0474934096673051,0.942525109198779,0.00419326326117699,10.4131024468036,0.992115150496672,4576.25335597499,0.976381826055012,0.2731783340719,1
GHANA10Y,ewma,2262,,,,,,,,,,20
BRL,gjr_t,2863,7.74722048979541e-07,0.0597554769634316,0.951642433378517,-0.038870714131178,7.74954514583725,0.991962553276216,9279.00360942999,0.0937318674183104,0.849581919824192,3
VND,gjr_n,2863,1.62697550666592e-08,0.102876340717059,0.913990555386794,-0.0420691379518044,,0.995832327132281,15338.9537557026,1.35050012506355e-07,0.394116361273175,15
GHS,gjr_t,2863,1.10421830670621e-06,0.272040487556167,0.70517205008772,0.0435748343710324,3.05900370635078,0.998999954829486,10308.1684250853,5.55111512312578e-16,0.988853092838274,21
HSY,gjr_t,2863,9.91806530042706e-06,0.0496601024964219,0.861139158192641,0.0733897597686168,4.27845950876994,0.947494140573502,8596.82696173876,0.634576435192349,0.996952976758446,11
MDLZ,gjr_t,2863,1.02902804438035e-05,0.028382617636553,0.855661432258679,0.121662601540483,4.29036610638885,0.94487535066569,8665.4465095737,0.0983136590702312,0.786383098463984,8
NESN,gjr_t,2862,9.27961764318534e-06,0.0322377761412622,0.840074989836798,0.0882237481858783,4.90531887628954,0.916424640071011,9199.26321184536,0.0943860517216939,0.96636149559069,5
SJM,gjr_t,2863,1.65223499762046e-05,0.0676874156099843,0.858609661129053,-0.00649598990992464,4.20710120025106,0.923049081783718,8317.38571165641,0.112715434011095,0.992434010196948,12
SBUX,gjr_t,2863,1.19816281339495e-05,0.0379712277200542,0.871413084435795,0.103754963142688,3.84516822131327,0.961261793726898,8090.82645195111,0.297088543697797,0.993544038054592,12
LISN,gjr_t,2862,5.85172486624245e-06,0.0462819834778976,0.879148806673833,0.0667646721794409,5.22367424136506,0.958813126241437,8905.65233635589,0.340990949786418,0.986213531975586,6
VIX,gjr_t,2863,0.000416784034105298,0.209634509711217,0.853397801380725,-0.294672802684721,4.63951220230519,0.915695909749319,3572.06413990834,0.00914315504919094,0.871456628784918,9
