ticker,n_obs,skew,excess_kurt
COCOA_NY,2863,-0.913,10.704
COCOA_LDN,2863,-0.719,11.95
COFFEE_ARA,2863,0.078,0.853
COFFEE_ROB,2863,-0.17,2.793
SUGAR,2863,0.158,1.76
COTTON,2863,-1.608,26.953
OJ,2863,-0.146,1.99
CORN,2863,-1.326,16.716
SOYB,2863,-0.522,5.31
WHEAT,2863,0.522,5.213
PALMOIL,2863,-0.343,5.733
WTI,2861,-0.046,20.068
DXY,2863,-0.122,1.946
US10Y,2863,-0.026,2.098
GHANA10Y,2262,2.989,51.557
BRL,2863,0.119,2.345
VND,2863,0.086,16.105
GHS,2863,-0.941,37.984
HSY,2863,-0.429,20.412
MDLZ,2863,-0.151,7.735
NESN,2862,-0.142,5.7
SJM,2863,-0.735,11.876
SBUX,2863,0.161,19.414
LISN,2862,-0.414,6.128
VIX,2863,1.214,7.499
